,difficulty
D1-trn.arff,0.5867833
D10-trn.arff,0.51264966
D100-trn.arff,0.5231129
D101-trn.arff,0.5675835
D102-trn.arff,0.31049058
D103-trn.arff,0.4762965
D104-trn.arff,0.38452214
D105-trn.arff,0.39339706
D106-trn.arff,0.38352013
D107-trn.arff,0.3155717
D108-trn.arff,0.34050938
D109-trn.arff,0.3591799
D11-trn.arff,0.4973906
D110-trn.arff,0.54936004
D111-trn.arff,0.33955783
D112-trn.arff,0.6066562
D113-trn.arff,0.49475116
D114-trn.arff,0.63474405
D115-trn.arff,0.6962049
D116-trn.arff,0.37491333
D117-trn.arff,0.6300879
D118-trn.arff,0.60145056
D119-trn.arff,0.4463466
D12-trn.arff,0.49393058
D120-trn.arff,0.50108254
D121-trn.arff,0.48422542
D122-trn.arff,0.4608531
D123-trn.arff,0.33382738
D124-trn.arff,0.34738022
D126-trn.arff,0.50752187
D127-trn.arff,0.47454557
D129-trn.arff,0.37641802
D13-trn.arff,0.42270094
D131-trn.arff,0.6045853
D132-trn.arff,0.6093385
D133-trn.arff,0.46525064
D134-trn.arff,0.4544775
D135-trn.arff,0.4504786
D136-trn.arff,0.46476778
D137-trn.arff,0.42021137
D138-trn.arff,0.5584203
D139-trn.arff,0.6461641
D14-trn.arff,0.4567358
D140-trn.arff,0.51815826
D141-trn.arff,0.3441469
D142-trn.arff,0.34172112
D143-trn.arff,0.35518733
D144-trn.arff,0.44714108
D145-trn.arff,0.53677154
D146-trn.arff,0.29140905
D147-trn.arff,0.2944806
D148-trn.arff,0.29306513
D149-trn.arff,0.32726648
D15-trn.arff,0.47078905
D150-trn.arff,0.65940934
D151-trn.arff,0.27788597
D152-trn.arff,0.6188062
D153-trn.arff,0.64396274
D154-trn.arff,0.5190523
D155-trn.arff,0.5372857
D156-trn.arff,0.54192156
D157-trn.arff,0.51918936
D158-trn.arff,0.4729027
D159-trn.arff,0.6417923
D16-trn.arff,0.48498803
D160-trn.arff,0.63475615
D161-trn.arff,0.49485675
D162-trn.arff,0.50561255
D163-trn.arff,0.50482476
D164-trn.arff,0.5708548
D165-trn.arff,0.38424158
D167-trn.arff,0.42534024
D168-trn.arff,0.39708266
D169-trn.arff,0.38038462
D17-trn.arff,0.5031576
D170-trn.arff,0.4067367
D171-trn.arff,0.45471305
D172-trn.arff,0.42327803
D173-trn.arff,0.41207796
D174-trn.arff,0.40226525
D176-trn.arff,0.462602
D177-trn.arff,0.6355655
D178-trn.arff,0.5952513
D179-trn.arff,0.4567151
D18-trn.arff,0.5032491
D180-trn.arff,0.45547858
D181-trn.arff,0.55519277
D182-trn.arff,0.6081841
D183-trn.arff,0.5527373
D184-trn.arff,0.28672585
D185-trn.arff,0.33512884
D186-trn.arff,0.50676525
D187-trn.arff,0.46859032
D188-trn.arff,0.29081184
D189-trn.arff,0.6310692
D19-trn.arff,0.40671307
D190-trn.arff,0.5636054
D191-trn.arff,0.5101945
D192-trn.arff,0.5734419
D193-trn.arff,0.59874964
D194-trn.arff,0.61931485
D195-trn.arff,0.5685112
D196-trn.arff,0.6264895
D197-trn.arff,0.5793502
D198-trn.arff,0.6179716
D199-trn.arff,0.507928
D2-trn.arff,0.4830761
D20-trn.arff,0.49688834
D200-trn.arff,0.5072614
D201-trn.arff,0.5886558
D202-trn.arff,0.4858895
D203-trn.arff,0.5855564
D204-trn.arff,0.5365612
D205-trn.arff,0.62093663
D206-trn.arff,0.6125117
D207-trn.arff,0.494515
D208-trn.arff,0.36442858
D209-trn.arff,0.4144959
D21-trn.arff,0.4407839
D210-trn.arff,0.5574169
D211-trn.arff,0.48587292
D212-trn.arff,0.50797904
D213-trn.arff,0.48977095
D214-trn.arff,0.44972175
D215-trn.arff,0.43125
D216-trn.arff,0.5565266
D217-trn.arff,0.53935117
D218-trn.arff,0.6065666
D219-trn.arff,0.5404303
D22-trn.arff,0.6002175
D220-trn.arff,0.46738333
D221-trn.arff,0.58954155
D222-trn.arff,0.43245974
D223-trn.arff,0.5257745
D224-trn.arff,0.50134337
D225-trn.arff,0.5705863
D226-trn.arff,0.5693335
D227-trn.arff,0.45287475
D228-trn.arff,0.42990828
D229-trn.arff,0.5520345
D23-trn.arff,0.51923305
D230-trn.arff,0.5031171
D231-trn.arff,0.3156866
D232-trn.arff,0.49904045
D233-trn.arff,0.55697405
D234-trn.arff,0.5374597
D235-trn.arff,0.57479894
D236-trn.arff,0.5836733
D237-trn.arff,0.6158359
D238-trn.arff,0.55422235
D239-trn.arff,0.5309587
D24-trn.arff,0.37411803
D240-trn.arff,0.6030812
D241-trn.arff,0.39705428
D242-trn.arff,0.507129
D243-trn.arff,0.4931733
D244-trn.arff,0.4804987
D245-trn.arff,0.46656522
D246-trn.arff,0.49735242
D247-trn.arff,0.33216694
D248-trn.arff,0.3351435
D249-trn.arff,0.49233237
D25-trn.arff,0.51751506
D250-trn.arff,0.44006976
D251-trn.arff,0.41856375
D252-trn.arff,0.5481512
D253-trn.arff,0.51165
D254-trn.arff,0.6224313
D255-trn.arff,0.60199654
D256-trn.arff,0.4398676
D257-trn.arff,0.5241083
D258-trn.arff,0.6040839
D259-trn.arff,0.5263112
D26-trn.arff,0.44283947
D260-trn.arff,0.6213926
D261-trn.arff,0.55466634
D262-trn.arff,0.5219129
D263-trn.arff,0.60349214
D264-trn.arff,0.32826582
D265-trn.arff,0.3247432
D266-trn.arff,0.5682871
D267-trn.arff,0.57247126
D268-trn.arff,0.31952244
D269-trn.arff,0.29848367
D27-trn.arff,0.53805465
D270-trn.arff,0.34710297
D271-trn.arff,0.5330782
D272-trn.arff,0.4446745
D273-trn.arff,0.5121815
D274-trn.arff,0.4478878
D275-trn.arff,0.4680685
D276-trn.arff,0.4770649
D277-trn.arff,0.37522393
D278-trn.arff,0.52344424
D279-trn.arff,0.35588422
D28-trn.arff,0.547358
D280-trn.arff,0.2930333
D281-trn.arff,0.35660264
D282-trn.arff,0.37147963
D283-trn.arff,0.38021088
D284-trn.arff,0.39664212
D285-trn.arff,0.33271378
D286-trn.arff,0.3770264
D287-trn.arff,0.467163
D288-trn.arff,0.5323061
D289-trn.arff,0.4271434
D29-trn.arff,0.50234735
D290-trn.arff,0.49749953
D291-trn.arff,0.49716216
D292-trn.arff,0.49337322
D293-trn.arff,0.46240765
D294-trn.arff,0.49062267
D295-trn.arff,0.5031923
D296-trn.arff,0.5596773
D297-trn.arff,0.4261981
D298-trn.arff,0.5122789
D299-trn.arff,0.45984077
D3-trn.arff,0.7512487
D30-trn.arff,0.48013663
D300-trn.arff,0.59457546
D32-trn.arff,0.56661457
D33-trn.arff,0.45973587
D34-trn.arff,0.42393428
D35-trn.arff,0.39907554
D36-trn.arff,0.40615565
D37-trn.arff,0.4159205
D38-trn.arff,0.49160162
D39-trn.arff,0.46931776
D4-trn.arff,0.4977668
D40-trn.arff,0.51593876
D41-trn.arff,0.5203645
D42-trn.arff,0.48052913
D43-trn.arff,0.47169003
D44-trn.arff,0.5208654
D45-trn.arff,0.52037376
D46-trn.arff,0.4371522
D47-trn.arff,0.4399837
D48-trn.arff,0.48113546
D49-trn.arff,0.63913274
D5-trn.arff,0.6216098
D50-trn.arff,0.3685652
D51-trn.arff,0.5665735
D53-trn.arff,0.4256258
D54-trn.arff,0.42337385
D55-trn.arff,0.41745263
D57-trn.arff,0.45868993
D58-trn.arff,0.5619857
D59-trn.arff,0.46792287
D6-trn.arff,0.4712376
D60-trn.arff,0.39628875
D61-trn.arff,0.49959153
D62-trn.arff,0.5571407
D63-trn.arff,0.51528925
D64-trn.arff,0.42750016
D65-trn.arff,0.37348592
D66-trn.arff,0.5028724
D67-trn.arff,0.5168088
D68-trn.arff,0.3764309
D69-trn.arff,0.38208604
D7-trn.arff,0.53260213
D70-trn.arff,0.3939702
D71-trn.arff,0.3817051
D72-trn.arff,0.52851766
D73-trn.arff,0.44663873
D74-trn.arff,0.36536697
D75-trn.arff,0.5254027
D76-trn.arff,0.38655895
D78-trn.arff,0.5024429
D79-trn.arff,0.4768797
D8-trn.arff,0.5147673
D80-trn.arff,0.53420615
D81-trn.arff,0.47476155
D82-trn.arff,0.41042525
D84-trn.arff,0.41217527
D85-trn.arff,0.40703422
D86-trn.arff,0.40362296
D88-trn.arff,0.36094707
D89-trn.arff,0.45578519
D9-trn.arff,0.53288144
D91-trn.arff,0.52837944
D92-trn.arff,0.57804286
D93-trn.arff,0.40615243
D94-trn.arff,0.4033184
D95-trn.arff,0.3774622
D96-trn.arff,0.37137502
D97-trn.arff,0.45815688
D98-trn.arff,0.48780018
D99-trn.arff,0.59211135
MagicTelescope.arff,0.26395366
Smartphone-Based_Recognition_of_Human_Activities_php0gEU7D.arff,0.4639694
acute-inflammations_phpJ1rDu3.arff,0.33734986
analcatdata_authorship-2.arff,0.22472462
analcatdata_authorship.arff,0.2629599
analcatdata_neavote.arff,0.67173564
analcatdata_vineyard.arff,0.47418818
analcatdata_wildcat.arff,0.4631172
appendicitis.arff,0.42148203
ar1.arff,0.5428499
ar4.arff,0.4603723
ar6.arff,0.5370196
arsenic-female-lung.arff,0.36439362
arsenic-male-bladder.arff,0.3860774
australian.arff,0.43440256
auto5.arff,0.8530326
autoPrice.arff,0.35533774
autoUniv-au1-1000_php7KLval.arff,0.5044678
autoUniv-au6-400_phpmxH8g0.arff,0.8577442
autoUniv-au6-750_phputZAUn.arff,0.7954717
autoUniv-au7-1100_phpmRPvKy.arff,0.81567794
autoUniv-au7-500_phpGCUgKd.arff,0.826159
autoUniv-au7-700_phpeCbcLC.arff,0.7226464
auto_price.arff,0.35150406
backache.arff,0.62095577
badges2.arff,0.40722126
balance-scale.arff,0.21450417
bank8FM.arff,0.23896213
banknote.arff,0.21917239
bankruptcy.arff,0.31531197
bodyfat.arff,0.3330765
boston_housing.arff,0.33785734
breast-tissue_phpydCnZg.arff,0.8384183
breast_cancer_wis_pro2.arff,0.5544068
breast_tissue_merged.arff,0.56555
bupa.arff,0.47706842
car.arff,0.5923807
cardio3.arff,0.48620772
chatfield_4.arff,0.3633178
chess-krkp.arff,0.23605612
chscase_census6.arff,0.67425483
chscase_vine2.arff,0.5192167
climate-model-simulation-crashes_phpXeun7q.arff,0.58863515
cloud.arff,0.5437857
congressional.arff,0.2694629
cpu.arff,0.36624402
cpu_act.arff,0.36639467
cpu_small.arff,0.3838283
crx.arff,0.3658259
dataset_11_balance-scale.arff,0.48187107
dataset_40_sonar.arff,0.3705047
dataset_41_glass.arff,0.6710712
dataset_53_heart-statlog.arff,0.4021693
dataset_54_vehicle.arff,0.4764914
diabetic.arff,0.4079296
dresses.arff,0.60729516
ecoli.arff,0.30569202
fertility_php9pgo5r.arff,0.6365186
first.arff,0.27941617
flags.arff,0.4811328
forest.arff,0.3206122
fri_c0_1000_10.arff,0.32045928
fri_c0_1000_25.arff,0.3140435
fri_c0_1000_5.arff,0.3063297
fri_c0_1000_50.arff,0.34199077
fri_c0_100_25.arff,0.38748613
fri_c0_100_5.arff,0.34808365
fri_c0_100_50.arff,0.43321198
fri_c0_250_10.arff,0.3391614
fri_c0_250_25.arff,0.36279348
fri_c0_250_5.arff,0.33275914
fri_c0_250_50.arff,0.42249545
fri_c0_500_10.arff,0.30602372
fri_c0_500_25.arff,0.34202796
fri_c0_500_5.arff,0.32150763
fri_c0_500_50.arff,0.34222293
fri_c1_1000_10.arff,0.39000222
fri_c1_1000_25.arff,0.43234053
fri_c1_1000_5.arff,0.4084373
fri_c1_1000_50.arff,0.43643856
fri_c1_100_25.arff,0.45450038
fri_c1_100_5.arff,0.46426183
fri_c1_100_50.arff,0.55618656
fri_c1_250_10.arff,0.43991536
fri_c1_250_25.arff,0.51624936
fri_c1_250_5.arff,0.36453244
fri_c1_250_50.arff,0.482512
fri_c1_500_10.arff,0.4278472
fri_c1_500_25.arff,0.47011906
fri_c1_500_5.arff,0.38206905
fri_c1_500_50.arff,0.4780318
fri_c2_1000_10.arff,0.360658
fri_c2_1000_25.arff,0.44059095
fri_c2_1000_5.arff,0.36122715
fri_c2_1000_50.arff,0.47308072
fri_c2_100_25.arff,0.4413925
fri_c2_250_10.arff,0.39242166
fri_c2_250_25.arff,0.45257205
fri_c2_250_5.arff,0.41117162
fri_c2_250_50.arff,0.40173778
fri_c2_500_10.arff,0.39002794
fri_c2_500_25.arff,0.4587614
fri_c2_500_5.arff,0.39664024
fri_c2_500_50.arff,0.4550169
fri_c3_1000_10.arff,0.382615
fri_c3_1000_25.arff,0.42665148
fri_c3_1000_5.arff,0.38140658
fri_c3_1000_50.arff,0.4491396
fri_c3_100_25.arff,0.5234714
fri_c3_100_50.arff,0.5518511
fri_c3_250_10.arff,0.44907507
fri_c3_250_25.arff,0.47240296
fri_c3_250_5.arff,0.4420827
fri_c3_250_50.arff,0.5186658
fri_c3_500_10.arff,0.43254533
fri_c3_500_25.arff,0.46125692
fri_c3_500_5.arff,0.3737157
fri_c3_500_50.arff,0.4793631
fri_c4_1000_10.arff,0.3908759
fri_c4_1000_100.arff,0.45668238
fri_c4_1000_25.arff,0.4613927
fri_c4_1000_50.arff,0.4953838
fri_c4_100_100.arff,0.53729343
fri_c4_100_25.arff,0.45682892
fri_c4_100_50.arff,0.58833706
fri_c4_250_100.arff,0.5170195
fri_c4_250_25.arff,0.4665625
fri_c4_250_50.arff,0.4502464
fri_c4_500_10.arff,0.4212098
fri_c4_500_100.arff,0.4980356
fri_c4_500_25.arff,0.4535777
fri_c4_500_50.arff,0.46289188
glass.arff,0.5352441
grub-damage_phpnYQXoc.arff,0.7410296
haberman.arff,0.5546907
heart_cleverland.arff,0.7814833
hill-valley_php3isjYz.arff,0.46957475
hill-valley_phpoW7Dbi.arff,0.46561116
ilpd_phpOJxGL9.arff,0.5774186
image.arff,0.25937924
ionosphere.arff,0.31417766
iris.arff,0.2726379
jEdit_4.0_4.2.arff,0.40701318
jEdit_4.2_4.3.arff,0.5076736
kdd_JapaneseVowels.arff,0.33106756
kdd_synthetic_control.arff,0.2185682
letter.arff,0.3116151
liver.arff,0.46350193
lowbwt.arff,0.4115036
lsvt.arff,0.48192415
lymph.arff,0.351865
lymphography.arff,0.58480334
machine_cpu.arff,0.355334
mc2.arff,0.53743994
mfeat-factors.arff,0.32570612
mfeat-fourier.arff,0.280998
mfeat-karhunen.arff,0.25875115
mfeat-zernike.arff,0.26650837
molecular_promoter.arff,0.36263818
molecular_splice.arff,0.3512835
monks1.arff,0.40315303
monks3.arff,0.31513804
mu284.arff,0.4042856
mushroom.arff,0.21729133
no2.arff,0.5468124
ozone-level-8hr_phpdReP6S.arff,0.49269646
pamap9.arff,0.24172544
parkinson_speech.arff,0.30939007
parkinsons_php4ylQmK.arff,0.42902988
pendigits.arff,0.25429088
planning-relax_phpSRnbqC.arff,0.67338735
plasma_retinol.arff,0.5503183
pm10.arff,0.60120165
pwLinear.arff,0.28761932
qsar-biodeg_phpGUrE90.arff,0.3844643
qualitative.arff,0.4040649
rmftsa_ladata.arff,0.3063174
robot-failures-lp4_php44ZCDh.arff,0.40573788
robot-failures-lp5_phpWniPo4.arff,0.6026155
robot1.arff,0.44433188
robot2.arff,0.57525575
robot3.arff,0.549521
robot4.arff,0.45307192
robot5.arff,0.5666008
sa-heart_phpgNaXZe.arff,0.50755197
seeds_phpPrh7lv.arff,0.32222435
seismic-bumps_phpvz1IQW.arff,0.32696152
socmob.arff,0.3115528
space_ga.arff,0.4855477
spectf_heart.arff,0.55606884
statlog_australian.arff,0.35772192
statlog_is.arff,0.33120912
stock.arff,0.30344504
strikes.arff,0.4528106
synthetic_control.arff,0.27406588
tao.arff,0.2789247
teachingAssistant.arff,0.61743456
tecator.arff,0.27345687
thoracic-surgery_phpjX67St.arff,0.6774038
thyroid_new_thyroid.arff,0.39854464
tic.arff,0.45922726
transplant.arff,0.30606303
twonorm_phpxijhaP.arff,0.2272161
user-knowledge_phpSOw1Kl.arff,0.45784777
user.arff,0.46399507
vehicle.arff,0.3686484
vertebra-column_phpOkU53r.arff,0.3765871
vertebra-column_phpZeLjnh.arff,0.3509451
visualizing_environmental.arff,0.42872992
visualizing_galaxy.arff,0.25992504
vowel.arff,0.3661074
wall-robot-navigation_phpVeNa5j.arff,0.42499954
wall-robot-navigation_phptrBBuY.arff,0.3501627
waveform-5000.arff,0.29043418
wdbc_phpAmSP4g.arff,0.27559754
wholesale.arff,0.3328226
wilt.arff,0.49447194
wine.arff,0.35356364
winsconsin.arff,0.23655272
wisconsin.arff,0.5296036
zoo.arff,0.3577422
